id,target_date,times,num_set,kind,winning,created_at,updated_at
313,2018-03-09,,"02,13,16,25,28,33,35",7,,2018-04-21 00:12:06.348462,2018-04-21 00:12:06.348472
314,2018-03-09,,"11,16,20,24,25,27,30",7,,2018-04-21 00:12:07.544225,2018-04-21 00:12:07.544233
315,2018-03-09,,"06,15,24,27,33,35,37",7,,2018-04-21 00:12:08.741473,2018-04-21 00:12:08.741480
475,2018-07-12,1294.0,"14,22,25,27,33,38",6,0.0,2018-06-22 11:23:31.938804,2018-07-12 21:42:23.218121
484,2018-07-19,1296.0,"16,18,33,37,39,42",6,0.0,2018-06-22 11:23:44.084641,2018-07-19 20:31:12.347020
485,2018-07-19,1296.0,"14,22,25,27,33,38",6,0.0,2018-06-22 11:23:45.391763,2018-07-19 20:31:13.012557
482,2018-07-19,1296.0,"02,03,09,11,14,27",6,0.0,2018-06-22 11:23:41.465766,2018-07-19 20:31:15.204376
486,2018-07-23,1297.0,"02,07,11,14,20,27",6,0.0,2018-06-22 11:23:46.696044,2018-07-23 22:04:07.062950
487,2018-07-23,1297.0,"02,03,09,11,14,27",6,0.0,2018-06-22 11:23:48.003177,2018-07-23 22:04:07.811983
488,2018-07-23,1297.0,"03,25,31,35,38,42",6,0.0,2018-06-22 11:23:49.311900,2018-07-23 22:04:08.747616
489,2018-07-23,1297.0,"16,18,33,37,39,42",6,0.0,2018-06-22 11:23:50.618228,2018-07-23 22:04:09.684748
490,2018-07-23,1297.0,"14,22,25,27,33,38",6,0.0,2018-06-22 11:23:51.922656,2018-07-23 22:04:10.627496
551,2018-07-26,1298.0,"02,07,11,13,20,27",6,0.0,2018-07-26 21:06:54.775750,2018-07-26 21:10:00.077081
552,2018-07-26,1298.0,"02,03,09,11,14,27",6,0.0,2018-07-26 21:06:55.945953,2018-07-26 21:10:00.768078
553,2018-07-26,1298.0,"15,17,28,32,34,36",6,0.0,2018-07-26 21:06:57.113516,2018-07-26 21:10:01.631181
554,2018-07-26,1298.0,"02,05,26,32,34,42",6,0.0,2018-07-26 21:06:58.281275,2018-07-26 21:10:02.493117
555,2018-07-26,1298.0,"16,18,19,23,25,28",6,0.0,2018-07-26 21:06:59.819728,2018-07-26 21:10:03.360118
556,2018-07-30,1299.0,"02,07,11,13,20,27",6,0.0,2018-07-26 21:07:00.989356,2018-08-04 10:12:11.177233
557,2018-07-30,1299.0,"02,03,09,11,14,27",6,0.0,2018-07-26 21:07:02.522535,2018-08-04 10:12:11.883850
558,2018-07-30,1299.0,"15,17,28,32,34,36",6,0.0,2018-07-26 21:07:03.692585,2018-08-04 10:12:12.767940
559,2018-07-30,1299.0,"02,05,26,32,34,42",6,0.0,2018-07-26 21:07:04.869067,2018-08-04 10:12:13.649791
560,2018-07-30,1299.0,"16,18,19,23,25,28",6,0.0,2018-07-26 21:07:06.038628,2018-08-04 10:12:14.533462
561,2018-08-02,1300.0,"02,07,11,13,20,27",6,0.0,2018-07-26 21:07:07.207560,2018-08-04 10:12:30.333929
562,2018-08-02,1300.0,"02,03,09,11,14,27",6,0.0,2018-07-26 21:07:08.374859,2018-08-04 10:12:31.113790
563,2018-08-02,1300.0,"15,17,28,32,34,36",6,0.0,2018-07-26 21:07:09.544413,2018-08-04 10:12:31.975540
