id,lottery_date,times,num_set,one_unit,one_amount,two_unit,two_amount,three_unit,three_amount,four_unit,four_amount,five_unit,five_amount,sales,carryover,created_at,updated_at
1035,2016-06-13,1079,"08,12,19,24,30,36,42",4,26765200.0,9,10706000.0,393,294200.0,14781,6900.0,193542,1000.0,1365728800.0,0,2016-06-13 10:55:02.000000,2016-06-13 10:55:02.000000
1089,2016-08-29,1101,"04,05,07,10,13,16,01",1,104501300.0,18,5225000.0,352,320600.0,14895,6600.0,215598,1000.0,1392372800.0,0,2016-08-29 10:55:03.000000,2016-08-29 10:55:03.000000
1095,2016-09-19,1107,"06,07,12,22,30,33,36",1,99931500.0,5,17987500.0,233,463100.0,11718,8100.0,184362,1000.0,1283022000.0,0,2016-09-19 10:55:03.000000,2016-09-19 10:55:03.000000
1105,2016-10-31,1119,"03,06,15,21,42,43,11",3,81465700.0,7,16390000.0,324,424900.0,13580,8900.0,211017,1000.0,1583005400.0,0,2016-11-01 02:40:20.000000,2016-11-01 02:40:20.000000
1106,2016-10-27,1118,"01,11,21,25,34,36,28",0,0.0,6,17537400.0,281,449300.0,9877,11200.0,164430,1000.0,1387175000.0,116917626,2016-11-01 02:40:20.000000,2016-11-01 02:40:20.000000
1107,2016-10-24,1117,"02,06,07,09,19,23,21",2,174617600.0,8,13883700.0,567,235000.0,21364,5500.0,282219,1000.0,1705685400.0,0,2016-11-01 02:40:20.000000,2016-11-01 02:40:20.000000
1124,2017-01-05,1137,"01,18,21,31,37,41,20",0,0.0,4,33328600.0,279,573300.0,13786,10200.0,175278,1000.0,1684042000.0,299920710,2017-01-05 10:55:03.000000,2017-01-05 10:55:03.000000
1125,2017-01-09,1138,"08,15,21,24,35,38,22",0,0.0,6,21156000.0,367,415000.0,16193,8200.0,237752,1000.0,1760938200.0,440962245,2017-01-09 10:55:02.000000,2017-01-09 10:55:02.000000
1156,2017-04-27,1169,"19,24,25,36,37,43,10",1,525593200.0,2,43584000.0,300,313700.0,12042,8200.0,197378,1000.0,1708244000.0,0,2017-04-27 10:55:03.000000,2017-04-27 10:55:03.000000
1027,2016-05-16,1071,"01,10,25,27,31,40,03",2,126632600.0,10,11828700.0,286,496300.0,11483,10900.0,188142,1000.0,1566706400.0,0,2016-05-16 10:55:03.000000,2016-05-16 10:55:03.000000
1187,2017-08-14,1200,"02,08,10,12,31,42,21",1,186945300.0,5,11217000.0,272,222600.0,13393,4700.0,192619,1000.0,1244941400.0,0,2017-08-14 10:55:03.000000,2017-08-14 10:55:03.000000
911,2015-04-30,963,"04,23,29,31,32,35,17",2,64350000.0,10,11582900.0,171,812800.0,9483,12900.0,164088,1000.0,1489384600.0,0,2016-04-30 22:59:13.000000,2016-04-30 22:59:13.000000
912,2015-04-27,962,"04,06,10,24,32,37,35",4,29602900.0,7,15224200.0,323,395900.0,14995,7500.0,219474,1000.0,1522553800.0,0,2016-04-30 22:59:13.000000,2016-04-30 22:59:13.000000
913,2015-04-23,961,"05,11,17,18,19,25,34",1,115013400.0,7,14787300.0,345,360000.0,16266,6700.0,235668,1000.0,1528840600.0,0,2016-04-30 22:59:14.000000,2016-04-30 22:59:14.000000
914,2015-04-20,960,"05,18,23,32,35,39,10",2,61430200.0,11,10052100.0,339,391400.0,13311,8700.0,190151,1000.0,1496269600.0,0,2016-04-30 22:59:14.000000,2016-04-30 22:59:14.000000
915,2015-04-16,959,"01,16,18,28,36,38,42",1,135036000.0,7,17361600.0,218,668900.0,10689,12000.0,175599,1000.0,1570336800.0,0,2016-04-30 22:59:14.000000,2016-04-30 22:59:14.000000
916,2015-04-13,958,"09,18,23,24,26,30,21",2,59353800.0,6,17805900.0,235,545500.0,11307,10000.0,188815,1000.0,1457007000.0,0,2016-04-30 22:59:14.000000,2016-04-30 22:59:14.000000
