id,lottery_date,times,num_set,one_unit,one_amount,two_unit,two_amount,three_unit,three_amount,four_unit,four_amount,five_unit,five_amount,six_unit,six_amount,sales,carryover,created_at,updated_at
1,2016-09-30,180,"01,08,11,21,23,25,28,05,37",0,0.0,14,5721300.0,109,1028700.0,5735,11400.0,89930,1800.0,153913,900.0,237187815,1767086700.0,2017-09-22 09:39:59.295436,2017-09-22 09:39:59.295439
2,2016-09-23,179,"04,09,12,13,22,26,36,05,33",1,581403600.0,8,11980000.0,150,894400.0,6573,11900.0,100985,1900.0,168946,1000.0,0,2114355600.0,2017-09-22 09:40:01.206622,2017-09-22 09:40:01.206630
3,2016-09-16,178,"06,09,11,15,26,34,36,13,37",0,0.0,8,11013900.0,93,1326300.0,5206,13900.0,84160,2100.0,137192,1100.0,298979855,1943843100.0,2017-09-22 09:40:03.070353,2017-09-22 09:40:03.070361
4,2016-09-09,177,"09,15,19,23,25,34,36,02,35",1,800000000.0,9,11551700.0,142,1025000.0,6691,12700.0,108184,1900.0,184822,1000.0,35718160,2293611000.0,2017-09-22 09:40:05.068852,2017-09-22 09:40:05.068860
5,2016-09-02,176,"01,11,12,17,22,30,35,15,16",0,0.0,5,18978800.0,89,1492600.0,5367,14500.0,87754,2100.0,148588,1100.0,528455810,2093478600.0,2017-09-22 09:40:06.903342,2017-09-22 09:40:06.903347
6,2016-10-28,184,"07,14,18,22,23,26,34,02,32",1,800000000.0,28,4463800.0,256,683500.0,9419,10800.0,127958,1900.0,204874,1100.0,751867760,2757388800.0,2017-09-22 09:41:45.635302,2017-09-22 09:41:45.635305
7,2016-10-21,183,"06,15,20,26,33,34,37,19,29",0,0.0,5,23089700.0,113,1430300.0,5827,16200.0,98227,2300.0,175010,1200.0,1181212000,2546931000.0,2017-09-22 09:41:47.518161,2017-09-22 09:41:47.518165
8,2016-10-14,182,"01,07,10,11,20,23,30,03,37",0,0.0,28,3682100.0,203,711000.0,9719,8700.0,117841,1700.0,189068,900.0,842496950,2274510000.0,2017-09-22 09:41:49.433348,2017-09-22 09:41:49.433353
9,2016-10-07,181,"07,08,10,13,19,23,24,15,27",0,0.0,7,13205000.0,130,995400.0,6491,11600.0,102655,1800.0,189360,800.0,521445450,2039238300.0,2017-09-22 09:41:51.419017,2017-09-22 09:41:51.419026
10,2016-11-25,188,"06,15,19,25,26,30,31,14,18",1,478206800.0,4,24214600.0,112,1210700.0,5621,14100.0,93300,2100.0,158624,1100.0,0,2136811200.0,2017-09-22 10:07:39.079511,2017-09-22 10:07:39.079514
11,2016-11-18,187,"04,06,10,23,24,32,36,15,31",2,800000000.0,13,9624600.0,206,850300.0,8657,11800.0,135560,1800.0,231695,900.0,198771140,2760310200.0,2017-09-22 10:07:40.950497,2017-09-22 10:07:40.950502
